Millis:59012, PWM:0.7, ADC:153, Voltage:0.12V, Resistance:266756.75ohm, LUX:5.04
Millis:59013, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
Millis:59014, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.87
Millis:59015, PWM:0.7, ADC:147, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.70
Millis:59016, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.87
Millis:59017, PWM:0.7, ADC:140, Voltage:0.12V, Resistance:263066.66ohm, LUX:4.83
Millis:59018, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:257712.42ohm, LUX:4.87
Millis:59019, PWM:0.7, ADC:149, Voltage:0.11V, Resistance:264899.34ohm, LUX:4.87
Millis:59020, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
Millis:59021, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.87
Millis:59022, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.91
Millis:59023, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.87
Millis:59024, PWM:0.7, ADC:137, Voltage:0.13V, Resistance:264899.34ohm, LUX:4.91
Millis:59025, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.87
Millis:59026, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.40
Millis:59027, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.87
Millis:59028, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.87
Millis:59029, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.95
Millis:59030, PWM:0.7, ADC:147, Voltage:0.12V, Resistance:263066.66ohm, LUX:4.95
Millis:59031, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
Millis:59032, PWM:0.7, ADC:148, Voltage:0.11V, Resistance:266756.75ohm, LUX:4.91
Millis:59033, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:334201.69ohm, LUX:4.87
Millis:59034, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.87
Millis:59035, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:255974.03ohm, LUX:5.13
Millis:59036, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:274444.44ohm, LUX:4.91
Millis:59037, PWM:0.7, ADC:149, Voltage:0.11V, Resistance:264899.34ohm, LUX:4.87
Millis:59038, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
Millis:59039, PWM:0.7, ADC:152, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.87
Millis:59040, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.87
Millis:59041, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.45
Millis:59042, PWM:0.7, ADC:138, Voltage:0.12V, Resistance:268639.44ohm, LUX:4.91
Millis:59043, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.87
Millis:59044, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:284676.28ohm, LUX:4.87
Millis:59045, PWM:0.7, ADC:148, Voltage:0.11V, Resistance:266756.75ohm, LUX:4.91
Millis:59046, PWM:0.7, ADC:152, Voltage:0.10V, Resistance:264899.34ohm, LUX:4.87
Millis:59047, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
